PO,TRP,0,10,20,30,40,50,60,70,80,90,,,
1,1.7,0.8,10,20,35,50,60,70,79,87,95,,,
2,3.3,1.6,10,20,35,50,60,70,79,87,95,,,
3,4.9,2.6,10,20,35,50,60,70,79,87,95,,,
4,6.5,3.5,10,20,35,50,60,70,79,87,95,,,
5,8.1,4.4,10,20,35,50,60,70,79,87,95,,,
6,9.7,5.3,10,20,35,50,60,70,79,87,95,,,
7,11.2,6.2,10,20,35,50,60,70,79,87,95,,,
8,12.7,7,10,20,35,50,60,70,79,87,95,,,
9,14.2,7.9,10.9,20,35,50,60,70,79,87,95,,,
10,15.7,8.8,12,20,35,50,60,70,79,87,95,,,
11,17.2,9.6,13,20,35,50,60,70,79,87,95,,,
12,18.7,10.5,14,20,35,50,60,70,79,87,95,,,
13,20.1,11.3,15,20,35,50,60,70,79,87,95,,,
14,21.6,12.1,15.9,20,35,50,60,70,79,87,95,,,
15,23,12.9,16.9,20,35,50,60,70,79,87,95,,,
16,24.4,13.7,17.7,20,35,50,60,70,79,87,95,,,
17,25.7,14.6,18.4,20,35,50,60,70,79,87,95,,,
18,27.1,15.4,19.3,20.7,35,50,60,70,79,87,95,,,
19,28.5,16.2,20.1,21.6,35,50,60,70,79,87,95,,,
20,29.8,16.9,20.8,22.5,35,50,60,70,79,87,95,,,
21,31.1,17.7,21.4,23.3,35,50,60,70,79,87,95,,,
22,32.4,18.5,22.2,24.1,35,50,60,70,79,87,95,,,
23,33.7,19.3,22.9,24.9,35,50,60,70,79,87,95,,,
24,35,20.1,23.6,25.6,35,50,60,70,79,87,95,,,
25,36.2,20.8,24.2,26.4,35,50,60,70,79,87,95,,,
26,37.5,21.6,24.8,27.1,35,50,60,70,79,87,95,,,
27,38.7,22.4,25.4,27.8,35,50,60,70,79,87,95,,,
28,39.9,23.1,26,28.4,35,50,60,70,79,87,95,,,
29,41.1,23.9,26.6,29.1,35,50,60,70,79,87,95,,,
30,42.3,24.7,27.2,29.7,35,50,60,70,79,87,95,,,
31,43.5,25.4,27.9,30.3,35,50,60,70,79,87,95,,,
32,44.7,26.2,28.7,31.1,35,50,60,70,79,87,95,,,
33,45.8,27,29.5,31.8,35.4,50,60,70,79,87,95,,,
34,46.9,27.7,30.2,32.5,36.1,50,60,70,79,87,95,,,
35,48.1,28.5,30.9,33.1,36.8,50,60,70,79,87,95,,,
36,49.2,29.3,31.7,33.9,37.4,50,60,70,79,87,95,,,
37,50.3,30,32.4,34.5,38,50,60,70,79,87,95,,,
38,51.4,30.8,33.2,35.2,38.6,50,60,70,79,87,95,,,
39,52.4,31.6,34,35.9,39.2,50,60,70,79,87,95,,,
40,53.5,32.4,34.7,36.6,39.7,50,60,70,79,87,95,,,
41,54.5,33.2,35.4,37.2,40.3,50,60,70,79,87,95,,,
42,55.6,33.9,36.1,37.8,40.8,50,60,70,79,87,95,,,
43,56.6,34.7,36.8,38.5,41.3,50,60,70,79,87,95,,,
44,57.6,35.5,37.5,39.1,41.8,50,60,70,79,87,95,,,
45,58.6,36.3,38.3,39.8,42.2,50,60,70,79,87,95,,,
46,59.6,37.1,39,40.4,42.7,50,60,70,79,87,95,,,
47,60.6,37.9,39.8,41,43.1,50.1,60,70,79,87,95,,,
48,61.5,38.8,40.5,41.6,43.5,50.7,60,70,79,87,95,,,
49,62.5,39.6,41.2,42.3,43.9,51.4,60,70,79,87,95,,,
50,63.4,40.4,42,43,44.3,51.9,60,70,79,87,95,,,
51,64.4,41.3,42.7,43.8,44.9,52.6,60,70,79,87,95,,,
52,65.3,42.1,43.4,44.5,45.6,53.2,60,70,79,87,95,,,
53,66.2,43,44.2,45.3,46.4,53.7,60,70,79,87,95,,,
54,67.1,43.8,44.9,46,47.1,54.3,60.3,70,79,87,95,,,
55,68,44.7,45.8,46.9,47.9,54.8,61,70,79,87,95,,,
56,68.9,45.6,46.6,47.7,48.7,55.3,61.6,70,79,87,95,,,
57,69.8,46.5,47.4,48.4,49.4,55.9,62.4,70,79,87,95,,,
58,70.6,47.4,48.3,49.3,50.2,56.4,63,70,79,87,95,,,
59,71.5,48.3,49.2,50.1,50.9,56.9,63.7,70,79,87,95,,,
60,72.3,49.2,50.1,50.9,51.7,57.3,64.3,70,79,87,95,,,
61,73.2,50.2,51,51.7,52.5,57.8,65,70,79,87,95,,,
62,74,51.1,52,52.7,53.4,58.1,65.5,70,79,87,95,,,
63,74.8,52.1,52.9,53.5,54.2,58.6,66.2,70.5,79,87,95,,,
64,75.6,53,53.9,54.4,55.1,58.9,66.7,71.1,79,87,95,,,
65,76.4,54,54.8,55.3,55.8,59.3,67.3,71.9,79,87,95,,,
66,77.2,55,55.8,56.2,56.7,59.7,67.9,72.5,79,87,95,,,
67,78,56.1,56.8,57.2,57.6,60,68.4,73.2,79,87,95,,,
68,78.8,57.1,57.7,58.1,58.5,60.3,68.9,73.9,79,87,95,,,
69,79.6,58.1,58.7,59.1,59.4,60.5,69.4,74.5,79,87,95,,,
70,80.3,59.2,59.7,60.1,60.4,60.7,69.8,75.1,79,87,95,,,
71,81.1,60.3,60.8,61.2,61.5,61.6,70.4,75.7,79,87,95,,,
72,81.8,61.4,61.7,62.1,62.4,62.5,71,76.4,79,87,95,,,
73,82.6,62.5,62.7,63.1,63.4,63.5,71.5,77.1,79.2,87,95,,,
74,83.3,63.6,63.8,64.2,64.4,64.5,72,77.7,79.8,87,95,,,
75,84,64.7,64.9,65.3,65.5,65.6,72.5,78.2,80.4,87,95,,,
76,84.8,65.9,65.9,66.3,66.5,66.6,73,78.9,81.1,87,95,,,
77,85.5,67.1,67.1,67.4,67.6,67.7,73.5,79.5,81.8,87,95,,,
78,86.2,68.3,68.3,68.6,68.8,68.9,73.9,80.1,82.4,87,95,,,
79,86.9,69.5,69.5,69.7,69.9,70,74.4,80.7,83,87,95,,,
80,87.6,70.7,70.7,71,71.1,71.2,74.7,81.2,83.6,87,95,,,
81,88.3,72,72,72.2,72.3,72.4,75.1,81.7,84.1,87,95,,,
82,89,73.2,73.2,73.4,73.5,73.6,75.4,82.2,84.7,87.3,95,,,
83,89.6,74.5,74.5,74.7,74.7,74.8,75.7,82.6,85.2,87.8,95,,,
84,90.3,75.8,75.8,75.9,75.9,76,76,83.2,85.9,88.5,95,,,
85,91,77.2,77.2,77.3,77.3,77.3,77.3,83.7,86.4,89.2,95,,,
86,91.6,78.6,78.6,78.6,78.6,78.6,78.6,84.2,87,89.7,95,,,
87,92.3,79.9,79.9,79.9,79.9,79.9,79.9,84.8,87.6,90.4,95,,,
88,93,81.3,81.3,81.3,81.3,81.3,81.3,85.3,88.2,91,95,,,
89,93.6,82.7,82.7,82.7,82.7,82.7,82.7,85.7,88.7,91.6,95,,,
90,94.3,84.1,84.1,84.1,84.1,84.1,84.1,86.2,89.2,92.3,95,,,
91,94.9,85.5,85.5,85.5,85.5,85.5,85.5,86.6,89.7,92.8,95,,,
92,95.5,87,87,87,87,87,87,87,90.2,93.4,95.5,,,
93,96.2,88.5,88.5,88.5,88.5,88.5,88.5,88.5,90.7,94,96.2,,,
94,96.8,90,90,90,90,90,90,90,91.2,94.6,96.8,,,
95,97.4,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,95.1,97.4,,,
96,98.1,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,95.7,98.1,,,
97,98.7,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,96.1,98.7,,,
98,99.3,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,97.2,99.3,,,
99,99.6,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,99.6,,,
100,100,100,100,100,100,100,100,100,100,100,100,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Percentage of overs
,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,70
