Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SR Watson,2010-2015,76,73,5,2775,185,40.8,2830,98.05,5,16,4,268,81
MJ Clarke,2010-2015,66,60,9,2361,117,46.29,2868,82.32,3,16,0,202,23
GJ Bailey,2012-2015,63,60,7,2236,156,42.18,2625,85.18,2,17,2,163,46
DA Warner,2011-2015,58,56,2,2085,178,38.61,2296,90.81,4,11,1,220,32
AJ Finch,2013-2015,52,50,1,1865,148,38.06,2133,87.43,6,9,5,201,34
SPD Smith,2010-2015,58,47,6,1632,105,39.8,1890,86.34,4,8,2,133,14
GJ Maxwell,2012-2015,55,50,6,1535,102,34.88,1214,126.44,1,12,4,153,54
BJ Haddin,2010-2015,60,54,10,1326,88,30.13,1575,84.19,0,6,0,146,24
DJ Hussey,2011-2013,46,40,6,1198,74,35.23,1304,91.87,0,10,4,91,17
MEK Hussey,2010-2012,38,35,6,1086,108,37.44,1321,82.21,1,7,1,69,17
MS Wade,2012-2015,53,48,6,1075,75,25.59,1410,76.24,0,7,4,78,15
PJ Hughes,2013-2014,25,24,1,826,138,35.91,1100,75.09,2,4,1,91,5
JP Faulkner,2013-2015,44,33,14,814,116,42.84,718,113.37,1,4,2,68,28
SE Marsh,2010-2015,18,17,1,704,151,44,884,79.63,2,3,1,72,8
RT Ponting,2010-2012,24,23,2,632,104,30.09,836,75.59,1,3,1,67,5
MR Marsh,2011-2015,23,21,3,596,89,33.11,630,94.6,0,5,1,46,19
AC Voges,2011-2013,17,15,5,558,112,55.8,640,87.18,1,3,0,41,3
MG Johnson,2010-2015,71,46,16,484,57,16.13,486,99.58,0,1,3,41,12
PJ Forrest,2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2,34,4
CL White,2010-2015,19,17,3,306,45,21.85,479,63.88,0,0,2,16,2
B Lee,2011-2012,35,18,7,279,59,25.36,292,95.54,0,1,4,22,10
DT Christian,2012-2014,19,18,5,273,39,21,307,88.92,0,0,0,23,3
CJ McKay,2010-2014,46,28,8,184,30,9.2,327,56.26,0,0,3,15,2
MA Starc,2010-2015,45,19,11,163,52,20.37,193,84.45,0,1,2,14,2
JA Burns,2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1,16,1
JW Hastings,2010-2015,12,10,5,116,34,23.2,104,111.53,0,0,1,12,3
XJ Doherty,2010-2015,60,23,16,101,15,14.42,184,54.89,0,0,2,5,1
CJ Ferguson,2010-2011,5,3,0,64,46,21.33,73,87.67,0,0,0,6,0
NM Coulter-Nile,2013-2015,13,8,4,60,16,15,82,73.17,0,0,0,3,1
BCJ Cutting,2013-2014,4,2,0,53,27,26.5,67,79.1,0,0,0,4,1
DE Bollinger,2011-2011,13,4,0,46,30,11.5,48,95.83,0,0,0,5,0
JL Pattinson,2011-2015,15,8,4,42,13,10.5,80,52.5,0,0,0,2,0
PJ Cummins,2011-2015,18,7,4,34,11,11.33,62,54.83,0,0,1,4,0
MC Henriques,2013-2015,4,4,1,18,9,6,33,54.54,0,0,0,0,0
UT Khawaja,2013-2013,3,3,1,14,8,7,40,35,0,0,0,1,0
JJ Krejza,2011-2011,8,2,1,13,7,13,23,56.52,0,0,0,0,0
NM Lyon,2012-2014,8,4,3,12,8,12,9,133.33,0,0,1,1,1
TD Paine,2011-2011,2,2,0,12,7,6,15,80,0,0,0,0,0
KW Richardson,2013-2014,8,3,2,11,9,11,6,183.33,0,0,1,1,0
PM Siddle,2010-2010,2,1,1,9,9,-,5,180,0,0,0,0,0
NM Hauritz,2010-2011,2,2,0,6,4,3,10,60,0,0,0,0,0
AC Agar,2015-2015,2,1,0,5,5,5,15,33.33,0,0,0,0,0
RJ Harris,2012-2012,4,2,1,5,3,5,13,38.46,0,0,0,0,0
Fawad Ahmed,2013-2013,3,1,1,4,4,-,2,200,0,0,0,1,0
MP Stoinis,2015-2015,1,1,0,4,4,4,5,80,0,0,0,0,0
SA Abbott,2014-2014,1,1,0,3,3,3,7,42.85,0,0,0,0,0
JR Hazlewood,2013-2015,12,1,1,0,0,-,4,0,0,0,0,0,0
BW Hilfenhaus,2012-2012,10,4,4,0,0,-,6,0,0,0,0,0,0
SW Tait,2011-2011,10,2,2,0,0,-,1,0,0,0,0,0,0
GS Sandhu,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
Mushfiqur Rahim,2010-2015,75,71,10,2381,117,39.03,2876,82.78,3,16,2,193,38
Tamim Iqbal,2010-2015,65,64,3,2103,132,34.47,2688,78.23,3,16,8,233,27
Shakib Al Hasan,2010-2015,58,54,8,1704,101,37.04,1983,85.93,1,15,2,147,13
Mahmudullah,2010-2015,62,55,15,1508,128,37.7,1930,78.13,2,9,5,134,15
Nasir Hossain,2011-2015,53,42,7,1190,100,34,1469,81,1,6,1,105,15
Anamul Haque,2012-2015,30,27,0,950,120,35.18,1357,70,3,3,4,91,16
Soumya Sarkar,2014-2015,16,16,2,692,127,49.42,675,102.51,1,4,0,92,15
Imrul Kayes,2010-2015,30,30,1,591,93,20.37,957,61.75,0,4,1,63,7
Mominul Haque,2012-2015,26,24,1,543,60,23.6,728,74.58,0,3,1,59,1
Naeem Islam,2010-2014,22,19,2,454,84,26.7,662,68.58,0,4,2,44,1
Sabbir Rahman,2014-2015,20,16,4,391,53,32.58,376,103.98,0,1,1,41,10
Shamsur Rahman,2013-2014,10,10,0,266,96,26.6,350,76,0,2,2,23,9
Junaid Siddique,2010-2011,12,12,1,261,56,23.72,425,61.41,0,2,0,19,3
Mashrafe Mortaza,2010-2015,43,27,6,245,39,11.66,250,98,0,0,2,27,8
Shahriar Nafees,2011-2011,11,11,0,225,60,20.45,377,59.68,0,2,2,24,0
