Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
BJ Haddin,2010-2015,60,-,-,-,-,-,-,-,-,-,-,-
PJ Hughes,2013-2014,25,-,-,-,-,-,-,-,-,-,-,-
UT Khawaja,2013-2013,3,-,-,-,-,-,-,-,-,-,-,-
SE Marsh,2010-2015,18,-,-,-,-,-,-,-,-,-,-,-
TD Paine,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-
RT Ponting,2010-2012,24,-,-,-,-,-,-,-,-,-,-,-
MS Wade,2012-2015,53,-,-,-,-,-,-,-,-,-,-,-
Shakib Al Hasan,2010-2015,58,58,489.5,22,2174,81,16/04/2015,26.83,4.43,36.2,4,0
Rubel Hossain,2011-2015,46,46,349.5,14,1928,62,26/06/2015,31.09,5.51,33.8,3,1
Abdur Razzak,2010-2014,46,45,386,27,1823,58,30/05/2015,31.43,4.72,39.9,2,2
Mashrafe Mortaza,2010-2015,43,43,349.3,20,1760,57,20/03/2015,30.87,5.03,36.7,0,0
Mahmudullah,2010-2015,62,55,299,9,1471,41,04/03/2015,35.87,4.91,43.7,0,0
Shafiul Islam,2010-2014,33,33,222,19,1201,31,21/04/2015,38.74,5.4,42.9,2,0
Arafat Sunny,2014-2015,13,13,112.5,6,500,22,27/04/2015,22.72,4.43,30.7,2,0
Sohag Gazi,2012-2014,20,19,153.1,12,722,22,29/04/2015,32.81,4.71,41.7,1,0
Taskin Ahmed,2014-2015,14,14,102,4,564,21,28/05/2015,26.85,5.52,29.1,0,1
Mustafizur Rahman,2015-2015,6,6,53.2,4,227,18,6/43,12.61,4.25,17.7,0,2
Al-Amin Hossain,2014-2014,11,11,79.3,7,442,17,4/51,26,5.55,28,2,0
Nasir Hossain,2011-2015,53,32,139.5,3,649,15,26/03/2015,43.26,4.64,55.9,0,0
Ziaur Rahman,2013-2014,13,11,65,1,301,10,30/05/2015,30.1,4.63,39,0,1
Suhrawadi Shuvo,2010-2011,10,10,74,4,337,8,3/44,42.12,4.55,55.5,0,0
Mominul Haque,2012-2015,26,11,36,1,175,7,13/02/2015,25,4.86,30.8,0,0
Naeem Islam,2010-2014,22,14,75.3,5,343,6,2/29,57.16,4.54,75.5,0,0
Nazmul Hossain,2011-2012,4,4,30,3,118,6,3/32,19.66,3.93,30,0,0
Elias Sunny,2011-2012,4,4,34,2,161,5,21/02/2015,32.2,4.73,40.8,0,0
Shahadat Hossain,2012-2013,5,5,45,0,319,5,3/53,63.8,7.08,54,0,0
Jubair Hossain,2014-2015,3,3,19,0,114,4,2/41,28.5,6,28.5,0,0
Taijul Islam,2014-2015,2,2,17,2,69,4,11/04/2015,17.25,4.05,25.5,1,0
Mohammad Ashraful,2010-2013,14,5,21.1,0,107,3,2/42,35.66,5.05,42.3,0,0
Robiul Islam,2013-2013,3,3,22.1,1,117,2,21/01/2015,58.5,5.27,66.5,0,0
Sabbir Rahman,2014-2015,20,10,24.1,0,161,1,1/47,161,6.66,145,0,0
Abul Hasan,2012-2015,6,6,32,1,219,0,-,-,6.84,-,0,0
Alok Kapali,2011-2011,4,4,14,0,61,0,-,-,4.35,-,0,0
Farhad Reza,2011-2011,2,1,2,1,2,0,-,-,1,-,0,0
Shamsur Rahman,2013-2014,10,1,1,0,13,0,-,-,13,-,0,0
Shuvagata Hom,2011-2011,4,1,2,0,9,0,-,-,4.5,-,0,0
Soumya Sarkar,2014-2015,16,2,7,0,32,0,-,-,4.57,-,0,0
Anamul Haque,2012-2015,30,-,-,-,-,-,-,-,-,-,-,-
Imrul Kayes,2010-2015,30,-,-,-,-,-,-,-,-,-,-,-
Jahurul Islam,2012-2013,8,-,-,-,-,-,-,-,-,-,-,-
Junaid Siddique,2010-2011,12,-,-,-,-,-,-,-,-,-,-,-
Liton Das,2015-2015,6,-,-,-,-,-,-,-,-,-,-,-
Mohammad Mithun,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-
Mushfiqur Rahim,2010-2015,75,-,-,-,-,-,-,-,-,-,-,-
Nazimuddin,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-
Raqibul Hasan,2010-2011,9,-,-,-,-,-,-,-,-,-,-,-
Shahriar Nafees,2011-2011,11,-,-,-,-,-,-,-,-,-,-,-
Tamim Iqbal,2010-2015,65,-,-,-,-,-,-,-,-,-,-,-
ST Finn,2011-2015,65,63,557.4,35,2839,98,5/33,28.96,5.09,34.1,4,2
JM Anderson,2011-2015,61,60,503.2,36,2432,90,5/34,27.02,4.83,33.5,3,1
TT Bresnan,2011-2015,52,51,437,23,2398,73,5/48,32.84,5.48,35.9,2,1
JC Tredwell,2011-2015,43,42,337.4,18,1596,60,4/41,26.6,4.72,33.7,3,0
SCJ Broad,2011-2015,46,46,383.5,17,2088,53,15/04/2015,39.39,5.43,43.4,1,0
CR Woakes,2011-2015,37,36,291,10,1726,47,6/45,36.72,5.93,37.1,2,2
GP Swann,2011-2013,36,35,317.5,15,1452,45,18/03/2015,32.26,4.56,42.3,0,0
CJ Jordan,2013-2015,24,24,204.3,4,1195,39,29/05/2015,30.64,5.84,31.4,0,1
BA Stokes,2011-2015,34,26,176,2,1096,32,5/61,34.25,6.22,33,1,1
JW Dernbach,2011-2013,24,24,205.4,6,1308,31,4/45,42.19,6.35,39.8,1,0
RS Bopara,2011-2015,66,55,244.5,8,1192,30,20/03/2015,39.73,4.86,48.9,0,0
MM Ali,2014-2015,27,26,213,3,1037,27,3/32,38.4,4.86,47.3,0,0
AU Rashid,2015-2015,11,10,89,1,560,15,4/55,37.33,6.29,35.6,2,0
SR Patel,2011-2013,25,23,141.1,2,772,13,26/03/2015,59.38,5.46,65.1,0,0
JE Root,2013-2015,59,37,138,2,802,12,15/02/2015,66.83,5.81,69,0,0
DJ Willey,2015-2015,6,6,48,5,289,12,3/51,24.08,6.02,24,0,0
HF Gurney,2014-2014,10,10,75.5,4,432,11,4/55,39.27,5.69,41.3,1,0
WB Rankin,2013-2014,7,6,53.1,3,241,10,4/46,24.1,4.53,31.9,1,0
A Shahzad,2011-2011,7,7,65.1,2,339,9,3/43,37.66,5.2,43.4,0,0
LE Plunkett,2011-2015,6,6,50,0,306,8,3/60,38.25,6.12,37.5,0,0
MH Yardy,2011-2011,9,9,80,2,460,7,2/59,65.71,5.75,68.5,0,0
CT Tremlett,2011-2011,6,6,50.5,0,286,6,22/03/2015,47.66,5.62,50.8,0,0
PD Collingwood,2011-2011,8,7,48,1,199,5,25/02/2015,39.8,4.14,57.6,0,0
MA Wood,2015-2015,7,7,59,1,344,5,25/01/2015,68.8,5.83,70.8,0,0
SD Parry,2014-2014,2,2,19,2,92,4,3/32,23,4.84,28.5,0,0
DR Briggs,2012-2012,1,1,10,0,39,2,2/39,19.5,3.9,30,0,0
SC Meaker,2011-2011,2,2,19,1,110,2,1/45,55,5.78,57,0,0
IJL Trott,2011-2013,57,7,19.3,0,119,2,2/31,59.5,6.1,58.5,0,0
KP Pietersen,2011-2013,32,6,21,0,124,1,1/43,124,5.9,126,0,0
SG Borthwick,2011-2011,2,2,9,0,72,0,-,-,8,-,0,0
MA Carberry,2013-2014,6,1,1,0,12,0,-,-,12,-,0,0
RJW Topley,2015-2015,1,1,5.2,1,33,0,-,-,6.18,-,0,0
LJ Wright,2011-2014,8,5,22,0,115,0,-,-,5.22,-,0,0
ZS Ansari,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
JM Bairstow,2011-2015,12,-,-,-,-,-,-,-,-,-,-,-
GS Ballance,2013-2015,16,-,-,-,-,-,-,-,-,-,-,-
IR Bell,2011-2015,78,-,-,-,-,-,-,-,-,-,-,-
SW Billings,2015-2015,5,-,-,-,-,-,-,-,-,-,-,-
JC Buttler,2012-2015,61,-,-,-,-,-,-,-,-,-,-,-
AN Cook,2011-2014,66,-,-,-,-,-,-,-,-,-,-,-
SM Davies,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-
AD Hales,2014-2015,20,-,-,-,-,-,-,-,-,-,-,-
C Kieswetter,2011-2013,34,-,-,-,-,-,-,-,-,-,-,-
MJ Lumb,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,2011-2015,96,-,-,-,-,-,-,-,-,-,-,-
MJ Prior,2011-2011,13,-,-,-,-,-,-,-,-,-,-,-
JJ Roy,2015-2015,11,-,-,-,-,-,-,-,-,-,-,-
AJ Strauss,2011-2011,14,-,-,-,-,-,-,-,-,-,-,-
JWA Taylor,2011-2015,23,-,-,-,-,-,-,-,-,-,-,-
JM Vince,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
R Ashwin,2010-2015,98,97,890.3,34,4295,137,25/04/2015,31.35,4.82,39,1,0
RA Jadeja,2010-2015,87,85,745.4,33,3618,115,5/36,31.46,4.85,38.9,4,1
Mohammed Shami,2013-2015,47,46,390.5,26,2166,87,4/35,24.89,5.54,26.9,5,0
UT Yadav,2011-2015,49,48,375,17,2192,71,4/31,30.87,5.84,31.6,3,0
B Kumar,2012-2015,53,53,432.5,44,2013,56,08/04/2015,35.94,4.65,46.3,2,0
I Sharma,2011-2015,31,30,243,16,1365,43,4/34,31.74,5.61,33.9,2,0
Z Khan,2010-2012,25,25,223.5,10,1118,41,20/03/2015,27.26,4.99,32.7,0,0
A Mishra,2011-2015,19,18,177.3,14,787,40,6/48,19.67,4.43,26.6,2,1
R Vinay Kumar,2011-2013,29,29,222.2,18,1301,36,30/04/2015,36.13,5.85,37,1,0
MM Patel,2010-2011,25,24,192.3,8,989,34,29/04/2015,29.08,5.13,33.9,2,0
SK Raina,2010-2015,117,75,284,4,1423,29,3/34,49.06,5.01,58.7,0,0
MM Sharma,2013-2015,24,23,169.5,12,888,29,22/04/2015,30.62,5.22,35.1,1,0
AR Patel,2014-2015,20,17,152.2,7,702,27,3/39,26,4.6,33.8,0,0
Yuvraj Singh,2010-2013,38,26,154,3,816,27,31/05/2015,30.22,5.29,34.2,0,1
Harbhajan Singh,2011-2015,22,22,214,6,904,24,3/32,37.66,4.22,53.5,0,0
P Kumar,2010-2012,22,22,176,11,922,21,3/37,43.9,5.23,50.2,0,0
IK Pathan,2011-2012,13,13,110.1,4,596,21,5/61,28.38,5.4,31.4,1,1
STR Binny,2014-2015,14,12,81.4,4,439,20,04/06/2015,21.95,5.37,24.5,0,1
DS Kulkarni,2014-2015,8,8,67.2,2,359,13,4/34,27.61,5.33,31,1,0
YK Pathan,2010-2012,20,20,100,2,511,12,3/49,42.58,5.11,50,0,0
VR Aaron,2011-2014,9,9,63.2,1,419,11,24/03/2015,38.09,6.61,34.5,0,0
A Nehra,2010-2011,12,12,89.4,5,525,11,2/33,47.72,5.85,48.9,0,0
AB Dinda,2012-2013,8,8,61.1,1,384,9,2/47,42.66,6.27,40.7,0,0
JD Unadkat,2013-2013,7,7,52,5,209,8,4/41,26.12,4.01,39,1,0
S Sreesanth,2010-2011,4,4,27.2,1,182,7,4/47,26,6.65,23.4,1,0
R Sharma,2011-2012,4,4,34.2,0,177,6,3/43,29.5,5.15,34.3,0,0
RG Sharma,2010-2015,87,21,61,0,325,5,2/30,65,5.32,73.2,0,0
MK Tiwary,2011-2015,11,6,22,1,150,5,4/61,30,6.81,26.4,1,0
PP Chawla,2011-2011,4,4,35,0,206,4,2/47,51.5,5.88,52.5,0,0
V Kohli,2010-2015,129,39,87.1,1,542,4,15/01/2015,135.5,6.21,130.7,0,0
V Sehwag,2011-2013,23,6,27,1,137,4,3/43,34.25,5.07,40.5,0,0
RP Singh,2011-2011,3,3,22,0,142,4,3/59,35.5,6.45,33,0,0
A Mithun,2011-2011,3,3,18,1,116,3,2/32,38.66,6.44,36,0,0
AT Rayudu,2013-2015,31,7,18,1,111,3,05/01/2015,37,6.16,36,0,0
Parvez Rasool,2014-2014,1,1,10,0,60,2,2/60,30,6,30,0,0
PP Ojha,2012-2012,2,2,6.5,0,51,1,1/44,51,7.46,41,0,0
M Vijay,2010-2015,12,2,6,0,37,1,19/01/2015,37,6.16,36,0,0
MS Dhoni,2011-2015,96,1,4,0,17,0,-,-,4.25,-,0,0
KV Sharma,2014-2014,2,2,19,1,125,0,-,-,6.57,-,0,0
SR Tendulkar,2011-2012,21,3,5.4,0,33,0,-,-,5.82,-,0,0
RV Uthappa,2014-2015,8,1,0.2,0,0,0,-,-,0,-,0,0
S Badrinath,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-
S Dhawan,2011-2015,66,-,-,-,-,-,-,-,-,-,-,-
R Dravid,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-
G Gambhir,2010-2013,47,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav,2014-2015,4,-,-,-,-,-,-,-,-,-,-,-
KD Karthik,2013-2014,19,-,-,-,-,-,-,-,-,-,-,-
MK Pandey,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
PA Patel,2010-2012,24,-,-,-,-,-,-,-,-,-,-,-
CA Pujara,2013-2014,5,-,-,-,-,-,-,-,-,-,-,-
TG Southee,2010-2015,63,61,517.3,39,2748,91,7/33,30.19,5.31,34.1,1,2
MJ McClenaghan,2013-2015,43,42,362.2,9,2202,76,5/58,28.97,6.07,28.6,6,1
KD Mills,2010-2015,52,52,398,38,1904,62,30/04/2015,30.7,4.78,38.5,1,0
NL McCullum,2010-2015,74,71,513.4,5,2624,55,24/03/2015,47.7,5.1,56,0,0
CJ Anderson,2013-2015,35,33,196.3,7,1241,50,5/63,24.82,6.31,23.5,2,1
TA Boult,2012-2015,27,27,238.4,24,1108,46,27/05/2015,24.08,4.64,31.1,3,1
JDP Oram,2011-2012,19,19,152,10,713,31,4/39,23,4.69,29.4,1,0
DL Vettori,2010-2015,36,33,284.5,13,1175,30,18/04/2015,39.16,4.12,56.9,1,0
MJ Henry,2014-2015,16,15,134.5,7,764,28,30/05/2015,27.28,5.66,28.8,2,1
KS Williamson,2010-2015,79,42,150.3,0,874,25,22/04/2015,34.96,5.8,36.1,1,0
AF Milne,2012-2015,25,25,185.4,5,930,24,28/02/2015,38.75,5,46.4,0,0
HK Bennett,2011-2014,12,11,84.2,2,470,20,16/04/2015,23.5,5.57,25.3,2,0
JDS Neesham,2013-2015,19,19,107.2,1,687,20,4/42,34.35,6.4,32.2,2,0
GD Elliott,2010-2015,43,30,101.4,0,616,17,26/03/2015,36.23,6.05,35.8,0,0
AJ McKay,2010-2012,10,10,86.2,3,514,15,4/53,34.26,5.95,34.5,2,0
DAJ Bracewell,2011-2015,9,9,84,10,421,12,31/03/2015,35.08,5.01,42,0,0
AM Ellis,2012-2013,15,13,80,3,425,12,22/02/2015,35.41,5.31,40,0,0
JEC Franklin,2010-2013,35,25,116.3,2,677,12,3/38,56.41,5.81,58.2,0,0
RJ Nicol,2011-2013,22,17,56.3,1,329,10,19/04/2015,32.9,5.82,33.9,1,0
SB Styris,2010-2011,19,14,78.4,1,375,9,3/40,41.66,4.76,52.4,0,0
BM Wheeler,2015-2015,6,6,51.3,3,315,8,3/63,39.37,6.11,38.6,0,0
MJ Santner,2015-2015,5,5,30,0,230,7,31/03/2015,32.85,7.66,25.7,0,0
IS Sodhi,2015-2015,6,6,58,2,319,6,3/38,53.16,5.5,58,0,0
TS Nethula,2012-2012,5,5,44,3,249,5,2/41,49.8,5.65,52.8,0,0
AP Devcich,2013-2014,10,9,41,1,221,4,2/33,55.25,5.39,61.5,0,0
LJ Woodcock,2011-2011,4,4,27.2,0,155,3,2/58,51.66,5.67,54.6,0,0
MD Bates,2012-2012,2,2,14,1,52,2,24/01/2015,26,3.71,42,0,0
JD Ryder,2011-2014,24,6,18.1,0,94,2,13/01/2015,47,5.17,54.5,0,0
DR Tuffey,2010-2010,1,1,8,0,56,2,2/56,28,7,24,0,0
GW Aldridge,2011-2011,2,2,19,1,98,1,1/45,98,5.15,114,0,0
AW Mathieson,2015-2015,1,1,4,0,40,1,1/40,40,10,24,0,0
C de Grandhomme,2012-2012,1,1,1,0,9,0,-,-,9,-,0,0
DR Flynn,2012-2012,4,2,3,0,19,0,-,-,6.33,-,0,0
MJ Guptill,2010-2015,86,4,5.2,0,37,0,-,-,6.93,-,0,0
C Munro,2013-2015,12,4,9,0,43,0,-,-,4.77,-,0,0
GH Worker,2015-2015,2,1,1,0,5,0,-,-,5,-,0,0
DG Brownlie,2012-2014,10,-,-,-,-,-,-,-,-,-,-,-
GJ Hopkins,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-
JM How,2010-2011,10,-,-,-,-,-,-,-,-,-,-,-
TWM Latham,2012-2015,32,-,-,-,-,-,-,-,-,-,-,-
BB McCullum,2010-2015,79,-,-,-,-,-,-,-,-,-,-,-
L Ronchi,2013-2015,56,-,-,-,-,-,-,-,-,-,-,-
HD Rutherford,2013-2013,4,-,-,-,-,-,-,-,-,-,-,-
LRPL Taylor,2010-2015,78,-,-,-,-,-,-,-,-,-,-,-
BJ Watling,2011-2013,15,-,-,-,-,-,-,-,-,-,-,-
Saeed Ajmal,2010-2015,81,80,718,45,2952,142,24/05/2015,20.78,4.11,30.3,4,2
Shahid Afridi,2010-2015,97,95,810,22,3747,113,12/07/2015,33.15,4.62,43,2,6
Mohammad Hafeez,2010-2015,116,97,782.3,33,3093,90,4/41,34.36,3.95,52.1,1,0
Wahab Riaz,2010-2015,58,57,438.4,13,2469,80,5/46,30.86,5.62,32.9,4,1
Junaid Khan,2011-2015,52,52,407.2,24,2147,78,12/04/2015,27.52,5.27,31.3,3,0
Mohammad Irfan,2012-2015,51,51,445.4,28,2169,71,30/04/2015,30.54,4.86,37.6,2,0
Umar Gul,2010-2015,52,50,383.2,25,2012,58,4/36,34.68,5.24,39.6,1,0
Sohail Tanvir,2011-2014,31,29,234.3,9,1294,27,4/34,47.92,5.51,52.1,1,0
Aizaz Cheema,2011-2012,14,14,109.4,3,593,23,4/43,25.78,5.4,28.6,2,0
Abdur Rehman,2010-2014,19,19,161.4,6,668,18,4/48,37.11,4.13,53.8,1,0
Rahat Ali,2012-2015,13,13,106.1,1,604,18,3/40,33.55,5.68,35.3,0,0
Yasir Shah,2011-2015,12,11,97,1,491,16,26/06/2015,30.68,5.06,36.3,1,1
Anwar Ali,2013-2015,17,17,117.4,1,706,13,24/02/2015,54.3,6,54.3,0,0
Shoaib Malik,2011-2015,35,25,111.5,5,506,13,06/03/2015,38.92,4.52,51.6,0,0
Sohail Khan,2011-2015,8,8,70.5,3,400,13,5/55,30.76,5.64,32.6,0,1
Shoaib Akhtar,2010-2011,11,11,87,4,509,12,3/39,42.41,5.85,43.5,0,0
Abdul Razzaq,2010-2011,22,21,102,14,461,11,08/02/2015,41.9,4.51,55.6,0,0
Haris Sohail,2013-2015,22,13,76,0,444,9,3/45,49.33,5.84,50.6,0,0
Imad Wasim,2015-2015,5,5,35.1,1,158,7,3/36,22.57,4.49,30.1,0,0
Bilawal Bhatti,2013-2015,10,10,68.1,4,439,6,3/37,73.16,6.44,68.1,0,0
Bilal Asif,2015-2015,2,2,18,1,64,5,25/05/2015,12.8,3.55,21.6,0,1
Ehsan Adil,2013-2015,6,6,37.3,0,223,4,31/01/2015,55.75,5.94,56.2,0,0
Mohammad Talha,2014-2014,3,3,20.2,1,146,4,22/02/2015,36.5,7.18,30.5,0,0
Zulfiqar Babar,2014-2015,5,5,49,1,246,4,2/52,61.5,5.02,73.5,0,0
Mohammad Sami,2012-2015,4,4,31.4,3,210,3,19/03/2015,70,6.63,63.3,0,0
Ahmed Shehzad,2011-2015,68,9,19.1,0,140,2,22/01/2015,70,7.3,57.5,0,0
Asad Ali,2013-2013,4,4,30,6,115,2,22/01/2015,57.5,3.83,90,0,0
Hammad Azam,2011-2015,11,8,33,0,169,2,21/01/2015,84.5,5.12,99,0,0
Tanvir Ahmed,2011-2011,2,2,10,0,83,2,1/38,41.5,8.3,30,0,0
Aamer Yamin,2015-2015,3,3,17,1,89,1,1/38,89,5.23,102,0,0
Fawad Alam,2010-2015,16,3,6,0,45,1,23/01/2015,45,7.5,36,0,0
Raza Hasan,2014-2014,1,1,10,0,68,1,1/68,68,6.8,60,0,0
Sohaib Maqsood,2013-2015,25,4,9,0,42,1,16/01/2015,42,4.66,54,0,0
Younis Khan,2010-2015,62,5,10,0,64,1,10/01/2015,64,6.4,60,0,0
Asad Shafiq,2010-2015,52,2,2,0,18,0,-,-,9,-,0,0
Azhar Ali,2011-2015,27,8,21,0,120,0,-,-,5.71,-,0,0
Saad Nasim,2015-2015,3,2,6,0,46,0,-,-,7.66,-,0,0
Umar Amin,2013-2014,12,2,5,0,18,0,-,-,3.6,-,0,0
Adnan Akmal,2011-2012,5,-,-,-,-,-,-,-,-,-,-,-
Babar Azam,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-
Imran Farhat,2010-2013,23,-,-,-,-,-,-,-,-,-,-,-
Kamran Akmal,2011-2013,31,-,-,-,-,-,-,-,-,-,-,-
Misbah-ul-Haq,2010-2015,106,-,-,-,-,-,-,-,-,-,-,-
Mohammad Rizwan,2015-2015,11,-,-,-,-,-,-,-,-,-,-,-
Mohammad Salman,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-
Mohammad Yousuf,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-
Nasir Jamshed,2012-2015,36,-,-,-,-,-,-,-,-,-,-,-
Sami Aslam,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
Sarfraz Ahmed,2011-2015,43,-,-,-,-,-,-,-,-,-,-,-
Shahzaib Hasan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-
M Morkel,2010-2015,75,74,620.5,31,3005,131,21/05/2015,22.93,4.84,28.4,5,2
DW Steyn,2010-2015,69,69,581.3,45,2662,111,6/39,23.98,4.57,31.4,1,3
Imran Tahir,2011-2015,47,46,412.3,20,1819,82,5/45,22.18,4.4,30.1,5,1
LL Tsotsobe,2010-2013,52,51,421.2,39,1959,79,22/04/2015,24.79,4.64,32,6,0
R McLaren,2012-2014,44,41,328.3,7,1736,69,19/04/2015,25.15,5.28,28.5,5,0
RJ Peterson,2010-2014,43,42,327.4,11,1645,58,12/04/2015,28.36,5.02,33.8,3,0
JP Duminy,2010-2015,86,67,329.2,6,1729,38,29/03/2015,45.5,5.25,52,0,0
WD Parnell,2010-2015,33,30,234.4,8,1220,37,4/42,32.97,5.19,38,1,0
VD Philander,2012-2015,23,21,167.2,15,777,35,4/45,22.2,4.64,28.6,1,0
JH Kallis,2010-2014,25,18,107,4,538,19,30/03/2015,28.31,5.02,33.7,0,0
KJ Abbott,2013-2015,19,18,135.1,7,655,18,21/04/2015,36.38,4.84,45,1,0
J Botha,2010-2012,20,20,165.1,3,732,18,2/32,40.66,4.43,55,0,0
AM Phangiso,2013-2015,15,15,135.5,5,610,16,3/43,38.12,4.49,50.9,0,0
K Rabada,2015-2015,8,8,70.1,5,330,14,16/06/2015,23.57,4.7,30,0,1
F Behardien,2013-2015,34,26,95.4,2,510,13,19/03/2015,39.23,5.33,44.1,0,0
RK Kleinveldt,2013-2013,10,10,85.3,6,448,12,22/04/2015,37.33,5.23,42.7,1,0
M de Lange,2012-2015,3,3,24.5,1,111,8,4/46,13.87,4.46,18.6,1,0
CH Morris,2013-2015,7,7,44.3,1,272,8,25/02/2015,34,6.11,33.3,0,0
AB de Villiers,2010-2015,90,8,30,0,180,7,15/02/2015,25.71,6,25.7,0,0
CK Langeveldt,2010-2010,2,2,20,1,122,5,3/75,24.4,6.1,24,0,0
D Wiese,2015-2015,3,3,20,0,144,5,3/58,28.8,7.2,24,0,0
J Theron,2010-2010,2,2,14,0,67,4,18/03/2015,16.75,4.78,21,0,0
F du Plessis,2011-2015,80,11,32,0,189,2,08/01/2015,94.5,5.9,96,0,0
D Elgar,2012-2012,5,4,16,1,67,2,11/01/2015,33.5,4.18,48,0,0
